*** Aelf Mainnet ***,,,,,,,,,,,Execution Layer,,,,Chain SSDB,,,,State SSDB,,,,Exporter,,,,,,,,,Total CPU (vCore),Total Memory (GB),Storage (TB)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,264,61.5
*** Arc Testnet ***,,,,,,,,,,,Execution Layer,,,,Consensus Layer,,,,GethExporter,,,,,,,,,,,,,,,
idc-int-arc-testnet-arc-arch-01,arc-testnet,Deployed,K8S,192.168.34.25,idc-chain-host-11,61.111.3.61,8.2,32.096,8.2,32.096,5,5,24,24,3,3,8,8,0.2,0.2,0.096,0.096,,,,,,,,,,,,
idc-int-arc-testnet-arc-full-01,arc-testnet,Deployed,K8S,192.168.34.44,idc-chain-host-10,61.111.3.60,8.2,32.096,8.2,32.096,5,5,24,24,3,3,8,8,0.2,0.2,0.096,0.096,,,,,,,,,,,,
idc-svc-arc-testnet-arc-arch-01,arc-testnet,Deployed,K8S,192.168.34.36,idc-chain-host-25,61.111.3.75,8.2,32.096,8.2,32.096,5,5,24,24,3,3,8,8,0.2,0.2,0.096,0.096,,,,,,,,,,,,
idc-svc-arc-testnet-arc-arch-02,arc-testnet,Deployed,K8S,192.168.34.38,idc-chain-host-26,61.111.3.76,8.2,32.096,8.2,32.096,5,5,24,24,3,3,8,8,0.2,0.2,0.096,0.096,,,,,,,,,,,,
idc-svc-arc-testnet-arc-full-01,arc-testnet,Deployed,K8S,192.168.34.52,idc-chain-host-05,61.111.3.55,8.2,32.096,8.2,32.096,5,5,24,24,3,3,8,8,0.2,0.2,0.096,0.096,,,,,,,,,,,,
idc-svc-arc-testnet-arc-full-02,arc-testnet,Deployed,K8S,192.168.34.54,idc-chain-host-31,61.111.3.81,8.2,32.096,8.2,32.096,5,5,24,24,3,3,8,8,0.2,0.2,0.096,0.096,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*** Avax Fuji ***,,,,,,,,,,,Execution Layer,,,,,,,,,,,,,,,,,,,,,,,
idc-int-avax-fuji-avax-arch-01,avax-fuji,Deployed,K8S,192.168.34.156,idc-chain-host-14,61.111.3.64,8,16,8,16.1,8,8,16,16.1,,,,,,,,,,,,,,,,,,8,16,1.9
idc-int-avax-fuji-avax-full-01,avax-fuji,Deployed,K8S,192.168.34.152,idc-chain-host-17,61.111.3.67,8,16,8,16.1,8,8,16,16.1,,,,,,,,,,,,,,,,,,8,16,0.2
idc-svc-avax-fuji-avax-arch-01,avax-fuji,Deployed,K8S,192.168.34.158,idc-chain-host-07,61.111.3.57,8,16,8,16.1,8,8,16,16.1,,,,,,,,,,,,,,,,,,8,16,1.9
idc-svc-avax-fuji-avax-arch-02,avax-fuji,Deployed,K8S,192.168.34.159,idc-chain-host-04,61.111.3.54,8,16,8,16.1,8,8,16,16.1,,,,,,,,,,,,,,,,,,8,16,1.9
idc-svc-avax-fuji-avax-full-01,avax-fuji,Deployed,K8S,192.168.34.154,idc-chain-host-28,61.111.3.78,8,16,8,16.1,8,8,16,16.1,,,,,,,,,,,,,,,,,,8,16,0.2
idc-svc-avax-fuji-avax-full-02,avax-fuji,Deployed,K8S,192.168.34.155,idc-chain-host-11,61.111.3.61,8,16,8,16.1,8,8,16,16.1,,,,,,,,,,,,,,,,,,8,16,0.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,96,6.3
*** Avax Mainnet ***,,,,,,,,,,,Execution Layer,,,,,,,,,,,,,,,,,,,,,,,
idc-int-avax-mainnet-avax-arch-01,avax-mainnet,Deployed,K8S,192.168.34.150,idc-chain-host-31,61.111.3.81,8,16,8,16.1,8,8,16,16.1,,,,,,,,,,,,,,,,,,8,16,13
idc-int-avax-mainnet-avax-full-01,avax-mainnet,Deployed,K8S,192.168.34.144,idc-chain-host-18,61.111.3.68,8,16,8,16.1,8,8,16,16.1,,,,,,,,,,,,,,,,,,8,16,1.3
